batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
splits_window_5_code_with_problems/chars_bin=1,parser,5,0.4376,0.4386,0.4368,0.3994,0.0189,0.8837,0.5447,0.6739,0.5082
splits_window_5_code_with_problems/chars_bin=1,parser,4,0.4227,0.4632,0.4413,0.4064,0.0379,0.8506,0.5737,0.6852,0.5212
splits_window_5_code_with_problems/chars_bin=1,parser,3,0.4105,0.4661,0.4357,0.3969,0.0227,0.8277,0.5768,0.6799,0.5150
splits_window_5_code_with_problems/comments_bin=0,parser,5,0.4811,0.4741,0.4758,0.4382,0.0916,0.9011,0.4098,0.5634,0.3922
splits_window_5_code_with_problems/comments_bin=0,parser,4,0.4620,0.5086,0.4823,0.4483,0.0992,0.8589,0.4382,0.5804,0.4088
splits_window_5_code_with_problems/comments_bin=0,parser,3,0.4368,0.5105,0.4685,0.4259,0.0611,0.8128,0.4400,0.5709,0.3995
splits_window_5_code_with_problems/comments_bin=1,parser,5,0.4162,0.4187,0.4163,0.3806,0.0227,0.8815,0.4846,0.6254,0.4550
splits_window_5_code_with_problems/comments_bin=1,parser,4,0.4044,0.4455,0.4231,0.3917,0.0492,0.8519,0.5122,0.6398,0.4703
splits_window_5_code_with_problems/comments_bin=1,parser,3,0.3886,0.4478,0.4149,0.3781,0.0265,0.8230,0.5148,0.6334,0.4635
splits_window_5_code_with_problems/length_lines_bin=0,parser,5,0.4987,0.4890,0.4916,0.4518,0.0954,0.9032,0.3825,0.5374,0.3674
splits_window_5_code_with_problems/length_lines_bin=0,parser,4,0.4842,0.5293,0.5038,0.4711,0.1145,0.8721,0.4132,0.5607,0.3896
splits_window_5_code_with_problems/length_lines_bin=0,parser,3,0.4533,0.5316,0.4867,0.4433,0.0649,0.8146,0.4152,0.5500,0.3794
splits_window_5_code_with_problems/length_lines_bin=1,parser,5,0.3988,0.4040,0.4005,0.3670,0.0189,0.8810,0.5120,0.6476,0.4788
splits_window_5_code_with_problems/length_lines_bin=1,parser,4,0.3823,0.4249,0.4018,0.3690,0.0341,0.8425,0.5373,0.6561,0.4882
splits_window_5_code_with_problems/length_lines_bin=1,parser,3,0.3722,0.4269,0.3969,0.3609,0.0227,0.8211,0.5396,0.6512,0.4828
splits_no_window_code_with_problems/chars_bin=0,parser,5,0.4703,0.4375,0.4502,0.4197,0.1336,0.9472,0.3367,0.4967,0.3304
splits_no_window_code_with_problems/chars_bin=0,parser,4,0.4589,0.4606,0.4576,0.4317,0.1527,0.9246,0.3526,0.5105,0.3427
splits_no_window_code_with_problems/chars_bin=0,parser,3,0.4558,0.4610,0.4561,0.4293,0.1527,0.9158,0.3529,0.5094,0.3418
splits_no_window_code_with_problems/chars_bin=1,parser,5,0.4522,0.4471,0.4485,0.4195,0.0611,0.9297,0.5495,0.6908,0.5276
splits_no_window_code_with_problems/chars_bin=1,parser,4,0.4457,0.4539,0.4487,0.4194,0.0534,0.9153,0.5569,0.6925,0.5296
splits_no_window_code_with_problems/chars_bin=1,parser,3,0.4416,0.4544,0.4468,0.4164,0.0534,0.9069,0.5575,0.6905,0.5273
splits_no_window_code_with_problems/comments_bin=0,parser,5,0.4855,0.4565,0.4674,0.4352,0.1183,0.9383,0.3941,0.5551,0.3842
splits_no_window_code_with_problems/comments_bin=0,parser,4,0.4755,0.4752,0.4731,0.4443,0.1374,0.9181,0.4084,0.5653,0.3940
splits_no_window_code_with_problems/comments_bin=0,parser,3,0.4716,0.4756,0.4711,0.4413,0.1374,0.9089,0.4087,0.5638,0.3926
splits_no_window_code_with_problems/comments_bin=1,parser,5,0.4371,0.4282,0.4312,0.4040,0.0763,0.9346,0.4920,0.6447,0.4757
splits_no_window_code_with_problems/comments_bin=1,parser,4,0.4292,0.4394,0.4333,0.4068,0.0687,0.9196,0.5011,0.6487,0.4801
splits_no_window_code_with_problems/comments_bin=1,parser,3,0.4258,0.4398,0.4318,0.4043,0.0687,0.9116,0.5017,0.6472,0.4784
splits_no_window_code_with_problems/length_lines_bin=0,parser,5,0.5105,0.4782,0.4904,0.4587,0.1603,0.9474,0.3742,0.5365,0.3666
splits_no_window_code_with_problems/length_lines_bin=0,parser,4,0.4993,0.5009,0.4978,0.4704,0.1756,0.9270,0.3902,0.5492,0.3785
splits_no_window_code_with_problems/length_lines_bin=0,parser,3,0.4959,0.5013,0.4961,0.4678,0.1756,0.9183,0.3904,0.5479,0.3773
splits_no_window_code_with_problems/length_lines_bin=1,parser,5,0.4120,0.4065,0.4082,0.3804,0.0344,0.9283,0.5120,0.6599,0.4925
splits_no_window_code_with_problems/length_lines_bin=1,parser,4,0.4054,0.4137,0.4085,0.3807,0.0305,0.9130,0.5194,0.6621,0.4948
splits_no_window_code_with_problems/length_lines_bin=1,parser,3,0.4016,0.4142,0.4068,0.3778,0.0305,0.9045,0.5199,0.6603,0.4929
splits_no_window_code_with_problems/chars_bin=0,parser,5,0.4703,0.4375,0.4502,0.4197,0.1336,0.9472,0.3367,0.4967,0.3304
splits_no_window_code_with_problems/chars_bin=0,parser,4,0.4589,0.4606,0.4576,0.4317,0.1527,0.9246,0.3526,0.5105,0.3427
splits_no_window_code_with_problems/chars_bin=0,parser,3,0.4558,0.4610,0.4561,0.4293,0.1527,0.9158,0.3529,0.5094,0.3418
splits_no_window_code_with_problems/chars_bin=1,parser,5,0.4522,0.4471,0.4485,0.4195,0.0611,0.9297,0.5495,0.6908,0.5276
splits_no_window_code_with_problems/chars_bin=1,parser,4,0.4457,0.4539,0.4487,0.4194,0.0534,0.9153,0.5569,0.6925,0.5296
splits_no_window_code_with_problems/chars_bin=1,parser,3,0.4416,0.4544,0.4468,0.4164,0.0534,0.9069,0.5575,0.6905,0.5273
splits_no_window_code_with_problems/comments_bin=0,parser,5,0.4855,0.4565,0.4674,0.4352,0.1183,0.9383,0.3941,0.5551,0.3842
splits_no_window_code_with_problems/comments_bin=0,parser,4,0.4755,0.4752,0.4731,0.4443,0.1374,0.9181,0.4084,0.5653,0.3940
splits_no_window_code_with_problems/comments_bin=0,parser,3,0.4716,0.4756,0.4711,0.4413,0.1374,0.9089,0.4087,0.5638,0.3926
splits_no_window_code_with_problems/comments_bin=1,parser,5,0.4371,0.4282,0.4312,0.4040,0.0763,0.9346,0.4920,0.6447,0.4757
splits_no_window_code_with_problems/comments_bin=1,parser,4,0.4292,0.4394,0.4333,0.4068,0.0687,0.9196,0.5011,0.6487,0.4801
splits_no_window_code_with_problems/comments_bin=1,parser,3,0.4258,0.4398,0.4318,0.4043,0.0687,0.9116,0.5017,0.6472,0.4784
splits_no_window_code_with_problems/length_lines_bin=0,parser,5,0.5105,0.4782,0.4904,0.4587,0.1603,0.9474,0.3742,0.5365,0.3666
splits_no_window_code_with_problems/length_lines_bin=0,parser,4,0.4993,0.5009,0.4978,0.4704,0.1756,0.9270,0.3902,0.5492,0.3785
splits_no_window_code_with_problems/length_lines_bin=0,parser,3,0.4959,0.5013,0.4961,0.4678,0.1756,0.9183,0.3904,0.5479,0.3773
splits_no_window_code_with_problems/length_lines_bin=1,parser,5,0.4120,0.4065,0.4082,0.3804,0.0344,0.9283,0.5120,0.6599,0.4925
splits_no_window_code_with_problems/length_lines_bin=1,parser,4,0.4054,0.4137,0.4085,0.3807,0.0305,0.9130,0.5194,0.6621,0.4948
splits_no_window_code_with_problems/length_lines_bin=1,parser,3,0.4016,0.4142,0.4068,0.3778,0.0305,0.9045,0.5199,0.6603,0.4929
splits_no_window_code_with_problems/chars_bin=0,parser,5,0.4703,0.4375,0.4502,0.4197,0.1336,0.9472,0.3367,0.4967,0.3304
splits_no_window_code_with_problems/chars_bin=0,parser,4,0.4589,0.4606,0.4576,0.4317,0.1527,0.9246,0.3526,0.5105,0.3427
splits_no_window_code_with_problems/chars_bin=0,parser,3,0.4558,0.4610,0.4561,0.4293,0.1527,0.9158,0.3529,0.5094,0.3418
splits_no_window_code_with_problems/chars_bin=1,parser,5,0.4522,0.4471,0.4485,0.4195,0.0611,0.9297,0.5495,0.6908,0.5276
splits_no_window_code_with_problems/chars_bin=1,parser,4,0.4457,0.4539,0.4487,0.4194,0.0534,0.9153,0.5569,0.6925,0.5296
splits_no_window_code_with_problems/chars_bin=1,parser,3,0.4416,0.4544,0.4468,0.4164,0.0534,0.9069,0.5575,0.6905,0.5273
splits_no_window_code_with_problems/comments_bin=0,parser,5,0.4855,0.4565,0.4674,0.4352,0.1183,0.9383,0.3941,0.5551,0.3842
splits_no_window_code_with_problems/comments_bin=0,parser,4,0.4755,0.4752,0.4731,0.4443,0.1374,0.9181,0.4084,0.5653,0.3940
splits_no_window_code_with_problems/comments_bin=0,parser,3,0.4716,0.4756,0.4711,0.4413,0.1374,0.9089,0.4087,0.5638,0.3926
splits_no_window_code_with_problems/comments_bin=1,parser,5,0.4371,0.4282,0.4312,0.4040,0.0763,0.9346,0.4920,0.6447,0.4757
splits_no_window_code_with_problems/comments_bin=1,parser,4,0.4292,0.4394,0.4333,0.4068,0.0687,0.9196,0.5011,0.6487,0.4801
splits_no_window_code_with_problems/comments_bin=1,parser,3,0.4258,0.4398,0.4318,0.4043,0.0687,0.9116,0.5017,0.6472,0.4784
splits_no_window_code_with_problems/length_lines_bin=0,parser,5,0.5105,0.4782,0.4904,0.4587,0.1603,0.9474,0.3742,0.5365,0.3666
splits_no_window_code_with_problems/length_lines_bin=0,parser,4,0.4993,0.5009,0.4978,0.4704,0.1756,0.9270,0.3902,0.5492,0.3785
splits_no_window_code_with_problems/length_lines_bin=0,parser,3,0.4959,0.5013,0.4961,0.4678,0.1756,0.9183,0.3904,0.5479,0.3773
splits_no_window_code_with_problems/length_lines_bin=1,parser,5,0.4120,0.4065,0.4082,0.3804,0.0344,0.9283,0.5120,0.6599,0.4925
splits_no_window_code_with_problems/length_lines_bin=1,parser,4,0.4054,0.4137,0.4085,0.3807,0.0305,0.9130,0.5194,0.6621,0.4948
splits_no_window_code_with_problems/length_lines_bin=1,parser,3,0.4016,0.4142,0.4068,0.3778,0.0305,0.9045,0.5199,0.6603,0.4929
splits_no_window_code_with_problems/chars_bin=0,parser,5,0.4703,0.4375,0.4502,0.4197,0.1336,0.9472,0.3367,0.4967,0.3304
splits_no_window_code_with_problems/chars_bin=0,parser,4,0.4589,0.4606,0.4576,0.4317,0.1527,0.9246,0.3526,0.5105,0.3427
splits_no_window_code_with_problems/chars_bin=0,parser,3,0.4558,0.4610,0.4561,0.4293,0.1527,0.9158,0.3529,0.5094,0.3418
splits_no_window_code_with_problems/chars_bin=1,parser,5,0.4522,0.4471,0.4485,0.4195,0.0611,0.9297,0.5495,0.6908,0.5276
splits_no_window_code_with_problems/chars_bin=1,parser,4,0.4457,0.4539,0.4487,0.4194,0.0534,0.9153,0.5569,0.6925,0.5296
splits_no_window_code_with_problems/chars_bin=1,parser,3,0.4416,0.4544,0.4468,0.4164,0.0534,0.9069,0.5575,0.6905,0.5273
splits_no_window_code_with_problems/comments_bin=0,parser,5,0.4855,0.4565,0.4674,0.4352,0.1183,0.9383,0.3941,0.5551,0.3842
splits_no_window_code_with_problems/comments_bin=0,parser,4,0.4755,0.4752,0.4731,0.4443,0.1374,0.9181,0.4084,0.5653,0.3940
splits_no_window_code_with_problems/comments_bin=0,parser,3,0.4716,0.4756,0.4711,0.4413,0.1374,0.9089,0.4087,0.5638,0.3926
splits_no_window_code_with_problems/comments_bin=1,parser,5,0.4371,0.4282,0.4312,0.4040,0.0763,0.9346,0.4920,0.6447,0.4757
splits_no_window_code_with_problems/comments_bin=1,parser,4,0.4292,0.4394,0.4333,0.4068,0.0687,0.9196,0.5011,0.6487,0.4801
splits_no_window_code_with_problems/comments_bin=1,parser,3,0.4258,0.4398,0.4318,0.4043,0.0687,0.9116,0.5017,0.6472,0.4784
splits_no_window_code_with_problems/length_lines_bin=0,parser,5,0.5105,0.4782,0.4904,0.4587,0.1603,0.9474,0.3742,0.5365,0.3666
splits_no_window_code_with_problems/length_lines_bin=0,parser,4,0.4993,0.5009,0.4978,0.4704,0.1756,0.9270,0.3902,0.5492,0.3785
splits_no_window_code_with_problems/length_lines_bin=0,parser,3,0.4959,0.5013,0.4961,0.4678,0.1756,0.9183,0.3904,0.5479,0.3773
splits_no_window_code_with_problems/length_lines_bin=1,parser,5,0.4120,0.4065,0.4082,0.3804,0.0344,0.9283,0.5120,0.6599,0.4925
splits_no_window_code_with_problems/length_lines_bin=1,parser,4,0.4054,0.4137,0.4085,0.3807,0.0305,0.9130,0.5194,0.6621,0.4948
splits_no_window_code_with_problems/length_lines_bin=1,parser,3,0.4016,0.4142,0.4068,0.3778,0.0305,0.9045,0.5199,0.6603,0.4929


combined_stats_window_5_code_with_problems,parser,5,0.9005,0.8960,0.8952,0.8217,0.1145,0.8998,0.8944,0.8971,0.8134
combined_stats_window_5_code_with_problems,parser,4,0.8694,0.9575,0.9087,0.8429,0.1489,0.8635,0.9505,0.9049,0.8263
combined_stats_window_5_code_with_problems,parser,3,0.8284,0.9618,0.8866,0.8069,0.0878,0.8259,0.9548,0.8857,0.7948


combined_stats_window_5_code_with_problems,parser,5,0.9005,0.8960,0.8952,0.8217,0.1145,0.8998,0.8944,0.8971,0.8134
combined_stats_window_5_code_with_problems,parser,4,0.8694,0.9575,0.9087,0.8429,0.1489,0.8635,0.9505,0.9049,0.8263
combined_stats_window_5_code_with_problems,parser,3,0.8284,0.9618,0.8866,0.8069,0.0878,0.8259,0.9548,0.8857,0.7948
combined_stats_window_10_code_with_problems,parser,5,0.8793,0.8650,0.8678,0.7780,0.0458,0.8749,0.8699,0.8724,0.7737
combined_stats_window_10_code_with_problems,parser,4,0.8272,0.9564,0.8844,0.8037,0.0840,0.8228,0.9476,0.8808,0.7870
combined_stats_window_10_code_with_problems,parser,3,0.8007,0.9600,0.8701,0.7808,0.0611,0.7959,0.9511,0.8666,0.7646
combined_stats_window_25_code_with_problems,parser,5,0.9317,0.9145,0.9197,0.8633,0.2137,0.9343,0.9058,0.9198,0.8515
combined_stats_window_25_code_with_problems,parser,4,0.9132,0.9508,0.9291,0.8794,0.2519,0.9152,0.9402,0.9276,0.8649
combined_stats_window_25_code_with_problems,parser,3,0.9000,0.9554,0.9240,0.8709,0.2252,0.9020,0.9451,0.9230,0.8570
combined_stats_window_50_code_with_problems,parser,5,0.9262,0.8885,0.9035,0.8348,0.0687,0.9269,0.8919,0.9091,0.8333
combined_stats_window_50_code_with_problems,parser,4,0.9053,0.9472,0.9227,0.8672,0.1794,0.9053,0.9414,0.9230,0.8570
combined_stats_window_50_code_with_problems,parser,3,0.8969,0.9493,0.9191,0.8608,0.1565,0.8976,0.9434,0.9199,0.8517
combined_stats_no_window_code_with_problems,parser,5,0.9226,0.8847,0.8986,0.8391,0.1947,0.9363,0.8862,0.9105,0.8357
combined_stats_no_window_code_with_problems,parser,4,0.9047,0.9146,0.9063,0.8511,0.2061,0.9189,0.9095,0.9142,0.8419
combined_stats_no_window_code_with_problems,parser,3,0.8974,0.9155,0.9029,0.8456,0.2061,0.9104,0.9104,0.9104,0.8355


combined_stats_window_5_code_with_problems,parser,5,0.9005,0.8960,0.8952,0.8217,0.1145,0.8998,0.8944,0.8971,0.8134
combined_stats_window_5_code_with_problems,parser,4,0.8694,0.9575,0.9087,0.8429,0.1489,0.8635,0.9505,0.9049,0.8263
combined_stats_window_5_code_with_problems,parser,3,0.8284,0.9618,0.8866,0.8069,0.0878,0.8259,0.9548,0.8857,0.7948
combined_stats_window_10_code_with_problems,parser,5,0.8793,0.8650,0.8678,0.7780,0.0458,0.8749,0.8699,0.8724,0.7737
